"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"4123","Upper middle income","DOM","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",3,83,3,224,"global",5,-770,-5207,3493,-344,-4625,2700,"AMR",2.69094837960021,83,306.348715506817
"4124","Upper middle income","DOM","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","global",2,447,141,1052,"global",2,38412,-11655,89355,19430,-1821,80496,"AMR",2.69094837960021,447,1649.85392568129
"4125","Upper middle income","DOM","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",2,691,128,1858,"income",1,6030,-4685,16621,3361,-3046,15240,"AMR",2.69094837960021,691,2550.44533030375
"4126","Upper middle income","DOM","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","global",4,205,62,473,"global",2,1570,-876,3850,887,-493,3484,"AMR",2.69094837960021,205,756.644417818043
"4127","Upper middle income","DOM","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","global",2,568,10,1629,NA,NA,NA,NA,NA,568,10,1629,"AMR",2.69094837960021,568,2096.45867961292
"4128","Upper middle income","DOM","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","global",1,134,-3315,3330,NA,NA,NA,NA,NA,134,-3315,3330,"AMR",2.69094837960021,134,494.587082866428
"4129","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","penicillins","B-J","income",1,1469,-1683,6026,NA,NA,NA,NA,NA,1469,-1683,6026,"AMR",2.69094837960021,1469,5422.00316963271
"4130","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","3g cephalosporins","BSI","income",13,577,165,1333,"income",3,314,-143,783,446,-76,1160,"AMR",2.69094837960021,577,2129.67721502932
"4131","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","carbapenems","BSI","income",3,-342,-2248,1242,NA,NA,NA,NA,NA,-342,-2248,1242,"AMR",2.69094837960021,-342,-1262.30434582327
"4132","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","glycopeptides","BSI","global",14,936,302,2278,"global",5,2814,-864,6196,1875,-232,5692,"AMR",2.69094837960021,936,3454.7276833058
"4133","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","penicillins","BSI","income",6,701,-21,1925,"income",2,125,-116,351,413,-96,1663,"AMR",2.69094837960021,701,2587.35481409975
"4134","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,454,167,1021,"whoc",1,118,-109,338,286,-72,877,"AMR",2.69094837960021,454,1675.6905643385
"4135","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","carbapenems","COL/INF","income",7,368,106,890,"income",4,2974,-267,6144,1671,86,5647,"AMR",2.69094837960021,368,1358.26900369288
"4136","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","glycopeptides","COL/INF","global",7,572,11,1556,"global",4,21303,-3021,45720,10937,-225,40393,"AMR",2.69094837960021,572,2111.22247313132
"4137","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","penicillins","COL/INF","income",1,114,42,265,"global",7,2934,-4734,9999,1524,-3299,8879,"AMR",2.69094837960021,114,420.768115274424
"4138","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","3g cephalosporins","RTI","income",7,35,-522,623,NA,NA,NA,NA,NA,35,-522,623,"AMR",2.69094837960021,35,129.183193286007
"4139","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","carbapenems","RTI","income",1,4966,-3972,18608,"income",1,6077,-6267,17856,5522,-5036,18039,"AMR",2.69094837960021,4966,18329.2496530946
"4140","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","tb","mdr","RTI","global",3,17410,-6650,53385,"global",1,46370,-43236,143935,31890,-32436,128137,"AMR",2.69094837960021,17410,64259.4112888397
"4141","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","penicillins","RTI","income",3,165,5,446,"global",5,-873,-5387,3641,-354,-4614,3032,"AMR",2.69094837960021,165,609.006482634035
"4142","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","penicillins","SSI","global",2,872,257,1985,"global",2,35532,-16723,86865,18202,-7717,79846,"AMR",2.69094837960021,872,3218.50698701138
"4143","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","penicillins","SSTI","income",2,1344,314,3351,"income",1,5901,-5205,17109,3623,-3349,15373,"AMR",2.69094837960021,1344,4960.63462218268
"4144","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","3g cephalosporins","UTI","global",4,412,127,1003,"global",2,1582,-848,3937,997,-435,3572,"AMR",2.69094837960021,412,1520.67073239529
"4145","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gn","carbapenems","UTI","wbregion",1,676,-96,1958,NA,NA,NA,NA,NA,676,-96,1958,"AMR",2.69094837960021,676,2495.08110460974
"4146","Upper middle income","DZA","AFRO D","Middle East & North Africa","AFRO","gp","glycopeptides","UTI","global",1,162,-6177,6570,NA,NA,NA,NA,NA,162,-6177,6570,"AMR",2.69094837960021,162,597.933637495234
"4147","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","B-J","income",1,808,-1045,3278,NA,NA,NA,NA,NA,808,-1045,3278,"AMR",2.69094837960021,808,2982.28629071697
"4148","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","income",13,339,105,777,"income",3,300,-135,792,319,-75,786,"AMR",2.69094837960021,339,1251.23150068447
"4149","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","income",3,-194,-1330,818,NA,NA,NA,NA,NA,-194,-1330,818,"AMR",2.69094837960021,-194,-716.043985642441
"4150","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","global",14,551,187,1229,"global",5,2751,-805,6036,1651,-292,5599,"AMR",2.69094837960021,551,2033.71255715972
"4151","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",6,417,-2,1197,"income",2,125,-114,356,271,-76,996,"AMR",2.69094837960021,417,1539.12547429329
"4152","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","income",6,642,246,1388,"income",3,1239,-184,2733,941,26,2457,"AMR",2.69094837960021,642,2369.58885970333
"4153","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","income",7,218,68,487,"income",4,2952,-137,6289,1585,62,5770,"AMR",2.69094837960021,218,804.626746752846
"4154","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","global",7,348,26,1008,"global",4,21467,-3256,45442,10908,-50,41474,"AMR",2.69094837960021,348,1284.45003610087
"4155","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","income",1,67,26,139,"global",7,2977,-4282,10040,1522,-3178,9037,"AMR",2.69094837960021,67,247.293541433214
"4156","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",7,33,-280,380,NA,NA,NA,NA,NA,33,-280,380,"AMR",2.69094837960021,33,121.801296526807
"4157","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",1,2986,-2226,10140,"income",1,6412,-5287,18774,4699,-3960,16239,"AMR",2.69094837960021,2986,11021.1718614862
"4158","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","tb","mdr","RTI","global",3,10427,-3579,29797,"global",1,47549,-48747,141228,28988,-30091,127559,"AMR",2.69094837960021,10427,38485.5187540914
"4159","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",3,96,4,260,"global",5,-634,-5042,3807,-269,-4396,3319,"AMR",2.69094837960021,96,354.33104444162
"4160","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","SSI","global",2,510,173,1170,"global",2,36001,-13950,87338,18255,-4634,79390,"AMR",2.69094837960021,510,1882.38367359611
"4161","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",2,810,184,2123,"income",1,6087,-4927,17244,3448,-3076,15088,"AMR",2.69094837960021,810,2989.66818747617
"4162","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","global",4,240,77,565,"global",2,1551,-898,3824,895,-541,3559,"AMR",2.69094837960021,240,885.82761110405
"4163","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","global",2,645,2,1683,NA,NA,NA,NA,NA,645,2,1683,"AMR",2.69094837960021,645,2380.66170484214
"4164","Upper middle income","ECU","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","global",1,92,-3719,4062,NA,NA,NA,NA,NA,92,-3719,4062,"AMR",2.69094837960021,92,339.567250923219
"4165","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,393,-419,1616,NA,NA,NA,NA,NA,393,-419,1616,"AMR",2.69094837960021,393,1450.54271318288
"4166","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","whoc",3,296,107,611,"income",3,318,-126,781,307,-55,727,"AMR",2.69094837960021,296,1092.52072036166
"4167","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","BSI","whoc",1,179,-3,496,NA,NA,NA,NA,NA,179,-3,496,"AMR",2.69094837960021,179,660.679759948438
"4168","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,64,-391,535,"wbregion",1,23172,-20455,65547,11618,-12216,59533,"AMR",2.69094837960021,64,236.220696294413
"4169","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",4,510,173,1146,"whoc",2,1244,-931,3446,877,-598,3070,"AMR",2.69094837960021,510,1882.38367359611
"4170","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",6,286,110,575,"income",3,1228,-232,2710,757,66,2467,"AMR",2.69094837960021,286,1055.61123656566
"4171","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","whoc",4,162,-19,466,"whoc",3,3697,-806,7834,1930,-348,7291,"AMR",2.69094837960021,162,597.933637495234
"4172","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","wbregion",1,258,-80,837,"global",4,21285,-2269,44773,10771,-123,41180,"AMR",2.69094837960021,258,952.264681936854
"4173","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","whoc",1,342,-1933,2928,"global",7,2858,-4324,9666,1600,-3393,8561,"AMR",2.69094837960021,342,1262.30434582327
"4174","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","whoc",1,354,127,774,NA,NA,NA,NA,NA,354,127,774,"AMR",2.69094837960021,354,1306.59572637847
"4175","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","RTI","income",1,1351,-1214,4562,"income",1,6420,-6689,18693,3886,-4539,16838,"AMR",2.69094837960021,1351,4986.47126083988
"4176","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","tb","mdr","RTI","wbregion",1,389,-30,1090,"global",1,49436,-42399,138846,24913,-27822,123589,"AMR",2.69094837960021,389,1435.77891966448
"4177","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","RTI","income",3,43,2,120,"global",5,-903,-5120,3383,-430,-4525,2857,"AMR",2.69094837960021,43,158.710780322809
"4178","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSI","global",2,227,76,491,"global",2,36842,-13734,87448,18535,-5653,76779,"AMR",2.69094837960021,227,837.845282169248
"4179","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSTI","whoc",1,580,126,1296,"whoc",1,5717,-5574,17229,3149,-3958,15073,"AMR",2.69094837960021,580,2140.75006016812
"4180","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","wbregion",2,133,51,275,"global",2,1572,-815,4063,852,-424,3659,"AMR",2.69094837960021,133,490.896134486828
"4181","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","UTI","global",2,290,0,749,NA,NA,NA,NA,NA,290,0,749,"AMR",2.69094837960021,290,1070.37503008406
"4182","Upper middle income","FJI","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","global",1,100,-1791,1914,NA,NA,NA,NA,NA,100,-1791,1914,"AMR",2.69094837960021,100,369.094837960021
"4183","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","income",1,1279,-1342,5234,NA,NA,NA,NA,NA,1279,-1342,5234,"AMR",2.69094837960021,1279,4720.72297750867
"4184","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","income",13,484,140,1188,"income",3,322,-126,791,403,-53,990,"AMR",2.69094837960021,484,1786.4190157265
"4185","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","income",3,-269,-1939,985,NA,NA,NA,NA,NA,-269,-1939,985,"AMR",2.69094837960021,-269,-992.865114112456
"4186","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,782,255,1931,"global",5,2739,-729,6268,1761,-284,5792,"AMR",2.69094837960021,782,2886.32163284736
"4187","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","income",6,595,-12,1723,"income",2,127,-111,355,361,-89,1438,"AMR",2.69094837960021,595,2196.11428586213
"4188","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,387,140,883,"whoc",1,108,-120,320,248,-74,746,"AMR",2.69094837960021,387,1428.39702290528
"4189","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","income",7,312,80,735,"income",4,2950,-222,6119,1631,72,5569,"AMR",2.69094837960021,312,1151.57589443527
"4190","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,487,8,1307,"global",4,21866,-1559,45365,11177,-92,41647,"AMR",2.69094837960021,487,1797.4918608653
"4191","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","income",1,97,35,230,"global",7,2784,-4512,9876,1440,-3052,8841,"AMR",2.69094837960021,97,358.02199282122
"4192","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","income",7,37,-430,486,NA,NA,NA,NA,NA,37,-430,486,"AMR",2.69094837960021,37,136.565090045208
"4193","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","income",1,4205,-3384,15243,"income",1,5991,-6251,18349,5098,-5105,17535,"AMR",2.69094837960021,4205,15520.4379362189
"4194","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,14368,-5216,46817,"global",1,45730,-48350,143113,30049,-27874,129502,"AMR",2.69094837960021,14368,53031.5463180958
"4195","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","income",3,141,4,412,"global",5,-705,-4664,3723,-282,-4122,2849,"AMR",2.69094837960021,141,520.42372152363
"4196","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,737,229,1853,"global",2,35575,-16258,87608,18156,-7168,81207,"AMR",2.69094837960021,737,2720.22895576535
"4197","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","income",2,1165,232,2949,"income",1,5660,-4910,16329,3413,-3241,15060,"AMR",2.69094837960021,1165,4299.95486223424
"4198","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,343,112,841,"global",2,1606,-937,3968,975,-506,3607,"AMR",2.69094837960021,343,1265.99529420287
"4199","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,941,51,2729,NA,NA,NA,NA,NA,941,51,2729,"AMR",2.69094837960021,941,3473.1824252038
"4200","Upper middle income","GAB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,231,-5495,6527,NA,NA,NA,NA,NA,231,-5495,6527,"AMR",2.69094837960021,231,852.609075687649
"4201","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,317,-344,1212,NA,NA,NA,NA,NA,317,-344,1212,"AMR",2.69094837960021,317,1170.03063633327
"4202","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","income",13,121,36,307,"income",3,320,-131,795,220,-59,706,"AMR",2.69094837960021,121,446.604753931625
"4203","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","carbapenems","BSI","income",3,-63,-442,257,NA,NA,NA,NA,NA,-63,-442,257,"AMR",2.69094837960021,-63,-232.529747914813
"4204","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","glycopeptides","BSI","wbregion",2,363,39,944,"wbregion",1,36208,-33132,110247,18286,-22739,95245,"AMR",2.69094837960021,363,1339.81426179488
"4205","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","penicillins","BSI","income",6,147,-11,408,"income",2,129,-125,364,138,-84,389,"AMR",2.69094837960021,147,542.569411801231
"4206","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",6,226,86,486,"income",3,1232,-218,2602,729,2,2435,"AMR",2.69094837960021,226,834.154333789647
"4207","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",3,132,35,333,"income",4,3029,-395,6507,1581,24,5886,"AMR",2.69094837960021,132,487.205186107228
"4208","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","wbregion",1,260,-37,779,"wbregion",1,31345,-28946,94995,15803,-20470,81176,"AMR",2.69094837960021,260,959.646578696055
"4209","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","penicillins","COL/INF","income",1,24,9,52,"wbregion",2,10377,-3287,23001,5200,-542,21048,"AMR",2.69094837960021,24,88.582761110405
"4210","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","income",7,8,-118,121,NA,NA,NA,NA,NA,8,-118,121,"AMR",2.69094837960021,8,29.5275870368017
"4211","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","carbapenems","RTI","income",1,1081,-592,3755,"income",1,6197,-6431,18684,3639,-4081,16882,"AMR",2.69094837960021,1081,3989.91519834783
"4212","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","tb","mdr","RTI","wbregion",2,5156,-1455,16872,"wbregion",1,47731,-49653,139341,26444,-29971,123396,"AMR",2.69094837960021,5156,19030.5298452187
"4213","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","penicillins","RTI","income",3,35,1,104,"wbregion",1,33527,-29283,90928,16781,-21999,83811,"AMR",2.69094837960021,35,129.183193286007
"4214","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","penicillins","SSI","global",2,177,63,416,"global",2,37201,-11188,85367,18689,-1541,77055,"AMR",2.69094837960021,177,653.297863189237
"4215","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","penicillins","SSTI","income",2,281,57,695,"income",1,5605,-5042,17154,2056,-2617,13939,"AMR",2.69094837960021,281,1037.15649466766
"4216","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","wbregion",1,97,40,212,"wbregion",1,1353,-1252,3901,725,-752,3478,"AMR",2.69094837960021,97,358.02199282122
"4217","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gn","carbapenems","UTI","global",2,230,7,631,NA,NA,NA,NA,NA,230,7,631,"AMR",2.69094837960021,230,848.918127308048
"4218","Upper middle income","GEO","EURO B","Europe & Central Asia","EURO","gp","glycopeptides","UTI","global",1,70,-1228,1501,NA,NA,NA,NA,NA,70,-1228,1501,"AMR",2.69094837960021,70,258.366386572015
"4219","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","income",1,2594,-2862,10551,NA,NA,NA,NA,NA,2594,-2862,10551,"AMR",2.69094837960021,2594,9574.32009668294
"4220","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","income",13,1057,292,2470,"income",3,311,-163,737,684,-77,2165,"AMR",2.69094837960021,1057,3901.33243723742
"4221","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","income",3,-561,-3480,2372,NA,NA,NA,NA,NA,-561,-3480,2372,"AMR",2.69094837960021,-561,-2070.62204095572
"4222","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,1673,579,3679,"global",5,2860,-703,6471,2267,-80,5856,"AMR",2.69094837960021,1673,6174.95663907115
"4223","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","income",6,1284,-13,3875,"income",2,126,-94,365,705,-81,3100,"AMR",2.69094837960021,1284,4739.17771940667
"4224","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,820,316,1774,"whoc",1,113,-113,337,467,-78,1552,"AMR",2.69094837960021,820,3026.57767127217
"4225","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","income",7,670,211,1634,"income",4,2940,-156,6236,1805,137,5607,"AMR",2.69094837960021,670,2472.93541433214
"4226","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,1062,31,2893,"global",4,20900,-2679,45320,10981,-52,39848,"AMR",2.69094837960021,1062,3919.78717913542
"4227","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","income",1,204,76,441,"global",7,2946,-3822,10248,1575,-2383,8948,"AMR",2.69094837960021,204,752.953469438443
"4228","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","income",7,78,-954,1245,NA,NA,NA,NA,NA,78,-954,1245,"AMR",2.69094837960021,78,287.893973608816
"4229","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","income",1,8964,-9354,34284,"income",1,6253,-6130,18637,7608,-7611,26722,"AMR",2.69094837960021,8964,33085.6612747363
"4230","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,29520,-12941,92935,"global",1,45357,-46509,131827,37438,-39955,119501,"AMR",2.69094837960021,29520,108956.796165798
"4231","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","income",3,298,33,795,"global",5,-740,-5070,4066,-221,-4563,3124,"AMR",2.69094837960021,298,1099.90261712086
"4232","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,1580,532,3632,"global",2,36303,-15933,87410,18942,-6913,80268,"AMR",2.69094837960021,1580,5831.69843976833
"4233","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","income",2,2462,471,6274,"income",1,5554,-5208,16566,4008,-3934,14524,"AMR",2.69094837960021,2462,9087.11491057572
"4234","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,731,245,1697,"global",2,1596,-729,3894,1164,-336,3539,"AMR",2.69094837960021,731,2698.08326548775
"4235","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,1974,136,5682,NA,NA,NA,NA,NA,1974,136,5682,"AMR",2.69094837960021,1974,7285.93210133081
"4236","Upper middle income","GNQ","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,408,-11390,14526,NA,NA,NA,NA,NA,408,-11390,14526,"AMR",2.69094837960021,408,1505.90693887689
"4237","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,1465,-1435,5953,NA,NA,NA,NA,NA,1465,-1435,5953,"AMR",2.69094837960021,1465,5407.23937611431
"4238","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","whoc",2,1139,-43,3072,"income",3,322,-141,783,731,-120,2623,"AMR",2.69094837960021,1139,4203.99020436464
"4239","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","whoc",2,14,-1673,1684,NA,NA,NA,NA,NA,14,-1673,1684,"AMR",2.69094837960021,14,51.6732773144029
"4240","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","global",14,863,308,1872,"global",5,2837,-789,6706,1850,-254,6057,"AMR",2.69094837960021,863,3185.28845159498
"4241","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",6,639,-38,1718,"income",2,126,-105,353,382,-89,1528,"AMR",2.69094837960021,639,2358.51601456453
"4242","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,1157,438,2352,"whoc",1,1574,-1426,4480,1365,-986,3970,"AMR",2.69094837960021,1157,4270.42727519744
"4243","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","whoc",1,324,-233,1052,"whoc",1,2224,-2343,7149,1274,-1623,6088,"AMR",2.69094837960021,324,1195.86727499047
"4244","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","global",7,538,-10,1406,"global",4,21772,-2953,43489,11155,-54,40825,"AMR",2.69094837960021,538,1985.73022822491
"4245","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","whoc",1,106,41,213,"global",7,3019,-4084,10196,1562,-2972,9139,"AMR",2.69094837960021,106,391.240528237622
"4246","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",7,39,-543,645,NA,NA,NA,NA,NA,39,-543,645,"AMR",2.69094837960021,39,143.946986804408
"4247","Upper middle income","GRD","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",1,4761,-3404,17358,"income",1,6121,-6746,17918,5441,-5114,17513,"AMR",2.69094837960021,4761,17572.6052352766
